STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,NETWORK_TYPE,,MEASURE,,NETWORK_ACCESS_MODE,,NETWORK_SPEED,,UNIT_MEASURE,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2016-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2016-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2015-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2015-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2014-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2014-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2013-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2013-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2012-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2012-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2011-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2011-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2010-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2010-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2022-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2021-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2020-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2020-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2019-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2019-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2018-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2018-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2017-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2017-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2016-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2016-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2015-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2015-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2014-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2014-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2013-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2013-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2012-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2012-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2011-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2011-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2010-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,KOR,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2010-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2021-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2020-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2020-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2019-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2019-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2018-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2018-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2017-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2017-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2016-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2016-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2015-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2015-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2014-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2014-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2013-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2013-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2012-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2012-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2011-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2011-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2010-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,JPN,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2010-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,DEU,,Q,,FBB,,SUB,,FIB,,_Z,,100HB,,2019-Q4,,1.88,,A,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,DEU,,Q,,FBB,,SUB,,FIB,,_Z,,100HB,,2019-Q2,,1.51,,A,,0,,2,
